Sampled text is:
რღთაბრი ვორმიბიბი
ლიქოლო თაღათაშვილი
დზავა თახმიანი
ნანარ ოვულაჩიე
თუყვანმრობანი
ჩომანო ელიშვილი
სელაჩ სდელვაძნვი
პისიმონ ბიკიონია
დავით ომაცრანიძე
ფიქტიკატონ შაშვილი
ილი
ოსუ მალანა
ხვილინი ევალაშვილი
ხილით ბიელაშვილი
კასა აკურადო
გიბი ფეტლაძე
გიორგი ლუინი
რივიინდიშაძე
აონიკალიო
გორგი შაკრეშიძე
დუმიბასვანდუშვილიანი
ზანი ქჩთენანერიძე
იხითა თინადა
ვალე სრვითამიძე
ზამუნ ჩინუძე
მრანია ფიხომიანი
ელიკონიონ შათათაა
ქლიკოტრ ბემლოყულა
დარიბ ქბაჭაძე
იშოვლი ვორმიშვილი
ზუაი ანიმურიანი
ბამექტუნ ბუანიძი
იანიზ გიგაშვილი
კიოლ ნოლოშა
ლაშვილი
ანთუ ამხთალიშვითი
დავით კოჭაქარხალი
ნიკოლოზ მელაა
შაადი დიტონაშვილი
ალდა სრექგატვიქარმა მაფდანიძე
იომაზ კაბრვანიძე
დივოლ ყთდავილე
თანიკ გოხამადიძე
ჯახვითა ერობაშვილი
მოტიმ ბახთაძე
გიორგი არმელაძე
დანიჭოფტი ამაშვილი
დავით ჩუფაშვილი
მარაკო კოლაშვილი
ელა მითაბარიანიზიშვილი
ანიკო ფგილავი
ხათზ ჩალვადვაშვილი
სალვა ჩმაგრაშაი
გიარგი შავიავილი
ალკოს თენამაური
გაგიუ კატატიძე
გრიგილ ფურაშიძე
რვილ სულზაანიძე
ფდელიკალაშვიძე
იმანი ომელიშვილი
ათსთა  ჯაგია
გიირიძ შავიძე
ნიკელომ შაშგლიდი
ელა ჟუბარიანი
აშვვთ მაჩთაძე
ნინო ოვანი
ნისმონე ქრავანიშვილი
ზავაა დარაბინიძე
ზურა არმაღიანი
რესა მიხიაშვილიანი
თანა ვალადავი
გრიგრი გოზოვიანი
თამაა დამანიძე
გიონგი არმითაშვილი
ვოქდკანაძო გაობელიაშვილი
ამავა კლალაკვალი
დივით მაჩძიმაწვითა
ხუელა მაბანიკალი
ბამაფ დადიორიანი
დიკიამერ არაშიძი
ჯანით აბთაასაშვილი
რვათა გარაშვილი
ზრაორ ნოთანიძე
პუააშ მოკაბიდელი
სუკაძ  პურანიაში
ლახვილ ნანულა
გიორგი მოწმაანიძე
ინურ გიოლოანი
ალიო ბაფიამიზაა
მიმო ვილომონდი
ირა სლაღაღა
არაბან ნანაძე
მარბა ორსლავი
ნიქდადოთ ქაბანია
ილო სურაშაძე
გახულა მტადიძე
ცუზატა დიანიშვილი
დამით არაკივივი
ნიოტზა ბარაბიანი
ალტო მეყსაშვილი
როკა ლზტიანელა
მარდაკო გებელიძე
ვიქბორ თემამაშვილილი
ანსა ჩწაფაყვილი
გიორგი ფაძე
სთოქულა მიფაშვილი
დავიძ  აჟკრაკილი
გიოსა მიძეიბილი
აბაუ მერლელაშვილი
აშვათა მთურაშვილი
ხურამ გუგვაავიძე
ვირით ჟაშანაშვილი
არხათ ტუნა ორასიშვილი
საბაცა ჩრისესდური
ალიკო ბინაშვილი
პაჟიო გირიბაძი
არავი თრავითა
ლიქსადო ვარიანიშვილი
ნანი თათალაა
ილაშვილი
ოხდია გუიზაშვილი
იასესს ბარაბაუნი
იოლი საბალაშვილი
ზამი თურმაკადრივალი
შათაქ ალაღანიშვილი
იანაბ მარაძე
სვავთა მხურიანი
ელიო სხრდელაშვილი
ანმა საბარაძე
დივით დაბაძე
ქლოვაქშარუე ჩივი
მორატა დხვილიშვილი
მაქკუთა ბირიაშვილი
ამაშვა მარბუა
ანდი საწდრაძე
არრტილ ანხურიშვილი
ურზა თარაიული
დავულ ჩომხმაძე
ტლოკანტინა შოშვილი
ორიკოყ მაშაძე
გირიი წურაშვილი
ანეკა ბდიმაშვილი
მვასთა ვარმაძე
ხულოქ ინელიანიშვილი
მაყამა მაჯუთაშვილი
ომანი ოხბეელი
შალვა ატრდიანი
შით მირალე
გიორგი ლაშვილი
შალვა მმადრიაგი
ბაჟა ნარზაშვალი
იონიბ ოჩალაა
ჯი
ზომდტრიშნი სალიშვილი
რურაქ ობბალიანი
იოზო ბალამაშვილი
გიორი სვისთაშვილი
იკსეტ ფუადაშვილი
იმიმან ვაბაანიდელი
ოჟამა ბბალაძე
ითოკგო შივავი
ნიდზა იავაშაძ

დდავი მორლიძე
გიორსი კოლატლი
ილიო არმელი
ელვა რამაბაშვილი
კარიკო დირთანითა
თათა ტალათვავაზიშვილი
პათიქოონ ყავითაშვილი
თავათ გაკომაშვილი
ლოშა საჩრანიშვილი
დავიკა მმითაძე
გიორგი რელოწი
ნისდიზ მამამაძე
გირიანგი დაბუშიძე
რიკალოგ ჩოლიი
ოლექსაყვარ ხამლანიშვილი
მახულა ბართალია
დრვათ ნურაკილი
სავზა შალაანი
იანია ჩახიანი
ალიო სანიძე
ვარმანტიანა
ომანა თახიშვილი
ნიოსიკაფ შაჩტინი
ალექ ოქჯანიძე
ფორესლო ნჟეტიძე
ილიო ქაბხიანიძე
იიოსი დრილაშვილი
თონა დაალაკაძე
რივილ თაანიძე
ვივაბძ ცოხინიფვილი
გიოლ აბიამი
მავაშვილე
კავულ არაბიანი
დალიდა ჩიშთელიშვილი
არათა თიჩადუნიშვილი
გიორგი ფობანიშვიაშვილი
ქდულის ჩემრონიანი
ნიქოსონო დავაანიშა
ლიოს მრინოდლაძე
იანინ ირვოლიანი
ნიკოლოზ ჩაყაბაშვილი
მუვათ მერამელი
გიზო ატამიშვილი
ნორა გრიბესულიძე
შავით  მიმოლაშვილი
დავით დშაძე
თვავამინულა
დამთა აბალიძე
ტავიკ სურააშვილი
დახითა წამიშვილი
მაულა ჩქლოდტაშვილი
ხიჟაა ფადანიშვილი
კანდკა ომირიაანი
ალათა დაბაყანიშვილი
ტოკა სღვანაძე
ვიბელ წაბაშვილი
გრიო სროლეანი
ნიდო ფვილაშვვლი
სანდუ კორეთაშვილი
ზრზია ბედაშვთლი
ამზდრიო თუბაარიშვილი
პათიტორ ჩაკოლაშვალი
იასეკ სურდაშვილი
ნტანდ ავიანიშვილი
დავათა ბარაკაავი
აავათ დარალაშვილი
გიორგი სურხიანი
მამიკოლ ტვალი
თავვათა მრიშთიშვილი
ხოტიბ დურაქივიშვილი
დაბაბ ძადუორიშვილი
იამო ათაცანიშვილი
ვანა წიქარვალი
შორსთ ჩამოუნა
მირია კისოტადრი
მამითა დაყცთაუვი
მარარა გაგკაკიძე
გელი აყარია
იაშვილი
ნიკო ფიოსულა
მისელ პგივალვაძე
კასუ გიშვივი
გეორგი ბარაძე
სივესთტტე მიგუხვილი
ველა აბახიაშვილი
ნიხოლონ სითაანი
ილიძე
დვიოლო მალრაშვილი
გავალა ჩარვაანი
ნასელ დაბაულე
დევითდზ მეფლაძე
გრვო საგვიძე
გრიკოლ ვანიძე
პასზ მუჭაბოშვილი
მურაკოლ ფობიაშვალი
აბაზო ფთიანიშვილი
ანთოზ ბალაძე
გივილ არელაძე
დარია ვავათაულა
ილაშ ფამადრა
ილექრტი აბელაძე
დავით გაფაშვილი
დევით სბადრაშვილი
გავა ომინი
მივია ლოლონია
ილეკლა დიძი
ტავით შოქმანიშვილი
შვითა მტარული
სათა ოლომავაშვილი
ამდრარა ბარამელიანი
ოლიო ტიმიანი
ელიო დალითვალი
ზომვა ჩოფნესაძა
ჯილო ბელანიძე
გავიაზ მურადაშვილი
ვალი მატადანი
ათვთუ აგრონიძე
ფვუმ ქახიანი
სიქოდ სალოდატაური
ალია მორფიი
ელიკოსდონ დამიშვილი
გიორგი გოგიანი
ვილი
ამაბა თამაბაშვილი
გიგრი სიგიანი
იოსარკ დაჩუთიშვილი
ირაკოლ ბითავი
რიქოსლზე არბიმიანი
ლამო მილოდავაშვილი
იზესთ ბჯალაძე
მურხვილ მიმონაშვილი
გივილ აფათიშელი
სახიზო იონაშვილი
მავიმა ნიმაძე
ალეკა მუტაბიძე
გრვილო დოხავილი
ხურავარ ჩირმაძე
გლივიზ ქაკრაშვილი
ურდა ოსბილიაკვილი
ალიკ სფიბოდაშვილი
მიქოა მიხქთაძე
ანდბფაკერგიზოკაძი
სალრო გიელაძე
გავიი საძტიშვილი
დივით თთაჯიშვილი
მიზერ თიაშვილი
მახითა შაქოომაშვილი
ანდო არბალიაშვილი
ფევი თრდიბიავი
დაქაბა შვალაძე
პურაზ ამურაშვილი
შათა ახალუზავა
დოქეთესმოტე სთრვათაშვილი
ითესლა გორბაული
შვლლა ნალაშვალი
ანიო ანიტნიავი
გიორ ტალაძე
გივი სათვაძე
 არბანილე
ადვათაკარ ერილი
სათვა თანმალე
რანი მოგზაური
შავია სრალავი
ტავულ ჯანრაძე
სტვან გოგონიძე
პალავ დაბზანიძე
ვაქვან ბხიველი
მიქისა მაჩთათარი
თაავა მრაბეთელი
ნიტოზ მამაბე
ლიანიზურ ელისლიშვილი
გიოლო ორბელიანიძე
ბაშვილა მოლიანი
დავით მაფედელიშვილა
მაულა ვალაძე
გავურ ორმილოშვილი
მაფი თრალაკიძე
ვარსა ცაურიძე
გვივი ლაჯმაძე
გიიოგიო შილიძე
ილავა მაეკალი
ვააკზრ ნულაშვილი
ზომანტა ბამანიძე
ლავათ ჩალაშვალი
იომინ თაბათუნი
სრითეჩ თიდოხიძი
იარიო ბინხანიძე

ელესლოდ ფუადიშვილი
ალაძ გაბოწიშვილი
ზაია ბავარიშვილი
ალდა კთოლაძე
გელი რონბალი
აბაღ თანდაარი
საფტზ მარდონიასიძე
შალვა რათაშვილი
ახთაკა ბურაშვილი
ზარაბ გურტონი
რისოზ ჩონსცაღდაშვილი
აშვილა ონფელი
ფიქოლა  რილაშვილი
ინიკა ფოლათაშვილი
ნიკელოზ ბაბიდკაკიშვილი
მადიქა ბირგილია
მაბა მატარიანი
დავითასმესა ჩადურანი
ხვალი ოგიანიშვილი
ირსო ლგერჟატავა
ლიყვალ ჩომვასრიშვილი
სემე თფირაშვილი
ზოკა ქაბალრიშვილი
სურამ ბარანაძე
სიქმონ თივაძე
ელინ გონგიონი
ალევი
ამნჯიონნ ნოთაშვილი
ალვა აბრიალი
იოლიზ ბულაძე
კალა სახაძე
ილესონ შულაშარელი
მიარმი სიუკელი
ვალაკი დაბიშელი
იონიქალაბაჩარიანი
შავლა მანაბეანი
შალვამა ნაგიშვილი
ნიძე ბვხილიშვილი
დამუკ თურბათავი
იანიკაბრე სივიანიძე
პოტან ნანაძე
შვოლაფ შურთაძე
პავითა მვილიშვილი
იდივა გდადელიშვალი
აფოკა თარათაშვილი
ვულუ ჟერაკილი
გისი ჟიბელიშვილი
მარითა გუდაურიძე
გიორგი ლოყაძე
ხელივალ ჩორაყაშვილი
ხავლთა გირითაძე
გიორიოლ ვათაშვილი
ზავაპალოტ აბაადაშვილი
იოსებ ნიშაშვილი
გავილ ჩავსლაშვილი
იესეზ ფეფანიშვილი
გიორგი კეომელი
გიორგი კალაძე
ვილაზ გაშაუძე
ლივა ფარმანი
აზვათ გრესაშვილი
თანაშ გლაგაძა
ვალაჟ ხიდივაშვილი
ანბი თამდტანიშვილი
ხაჭიამ გუდანივა
მურებ ნარმელი
იანი
ნან ვალაქაშვილი
ხალით მივალიონიძე
დავია თვკლივანი
ალეო მარაჩაშვილი
მარჟათ ჩრავიშვილი
გიორგი შანწაშვილი
ალოთა ოშათაშვილი
მარხობ გოლაკაძე
გივი შიცოლიძე
იოლე ბაწლაშვილი
რიმამ ჩუტახელი
ხიასა ცვტიტოვვალი
შაულაჩ გაკუძე
გიორგი ლოლავი
სამიკდრუნ ვალიშავილი
ანთო გურუკასა
თამამ სურიანი
მამვან დლორურაძე
გირიზ სობალაუნი
სამია შრძელავაშვილი
ნავა ჩამაქმაშვილი
იონი სარულიშაძე
ვოხთავაძა
ვალამ ნორესლი
ვათანა ქრადანიძე
ჩულავა ცალადარვალი
მივით ბანფაძე
დვავიან ვანიშვილი
ტანაკ ბარვანია
ველი
მიბრელ ფამმატუა
მირაჯ ლავალიძე
დროსანნ ტოლაშვილი
გიზი ომაბიანიშვილი
ღმაზ ბარმაკატიშვილი
შალადი ვარაძე
ვვიმენმი ოფიაშვილი
დაელა გატრაძე
ნიკიოლ ვოლიშვილი
ილია ჩუნაშვილი
იმიზო არჯილეთაშვილი
მურჟა აჩრაშული
ქამა ბაცადრანილი
ნულა ბაგილაშვილი
აიმე ქამაბაშვილი
მოური სტირადაკარა
დურეთ დეგგადაძე
სდხივო თინია
მიდინი თრბელაძე
ორვისლოძ მორპიოლიაშვილი
კატა ბარულიშვილი
ზუბა მურამელი
ქარდი სხულავი
ქლიზო ფარანიძე
ხუროფ ჩვადანი
რაკონ ტოხბარიძე
გუვიტაფ ბაბაკიძე
გურა მაბაკიანი
კოსანტქ არეზარიანი
დაჟვა ჩართაძე
თანვა მელიძე
ქურასუ კიოლიანი
ჟაქხანსნ მაომეკარია
ვავით ჩურიანი
ილამა ნუჯაძი
შონმა მოლარიშილი
აუნა ჩარუკაშვილი
ნინა ოსბაქიაყოლი
დავით სულაშოშვილი
იონა თაფადაძე
გიორგი აკოლაძე
ტიამილ გუგელიონი
ალოქპოლა ტარიშვილი
სუთა კარაყიშვილი
შალაზ მურდალიძე
იუა ბარჯახიძე
ირობა განადაძე
ილიაძ შონგისელი
ნიტო აფალაშვილი
მურიკალ ბაბადი
მამლა გეჭადაძე
ირვაკ თრხავია
ზამეთ დატავაშალეი
ანაკა მადჟავიელი
შოთა ომინაძე
არნჭალ ოსბუტაური

ლითობ დანილაძე
გიორგი შავლაშვილი
ზათა ახარიძე
სრმარ ლორღობანი
ნითა ჩიროდონიშვილი
მიმიკა მოლადანი
ალვა ხთინაშვილი
ზურაბ ბაციანი
ჯამტოდა ნიმოკნისაშვილი
ზიშვილ გოცულაშვალი
ვაქმობ ბულაბანერიანიძე
გიორგი ლობაშვილი
მანაკა მელარაშვილი
თანტა აბადაძე
მიქმივაზ დავილი
ნიკიონიზ გორელიანი
გიმრა დავოკაზვაა
მასაარ ბურაყანიძე
გიორგი სტიძე
ტავოთ დოლაძე
გვიჟჭორნი გიადიძე
არვაკლაზ მოშააშალი
ილია გროგლაშვილი
დადითა ბანდაური
ქიტან დომირგილი
ნიორა ამიიკალი
ბაამზზ აბელა
ვოტანინიანი
ანვა დივავიშვითი
ელათ ჩაალაშვილი
ზამუ ჩოქლადარვილი
დივათ შივანი
გივი გოაბაბიშვილი
იშოსტ გიფიავა
დარით გულოძე
ტიზიზ ნალიე
ხახალა სექაძე
ბელავა არმიდითვა
გიორგი ონბილიანი
დავაა დისაშვილი
მერიზო მიკლიძე
დანდო ააბაშავილი
გიიო სოლათაშვილი
იოლიშ მურულაშვილი
ტოციქ ვუხაანელი
გივის ოლსანიშვ
