Sampled text is:
ენი
შოსტან ჩოლოყაშვლილი
გივი შვალტაკიშვილი
ამერესლიზნი მოლაშვილი
აზხაალგი ჩოსმევა
მივულ მულუყავალი
იოსერ მელსიჩა
ზარა მინცვადაშვილი
ზერუნა ვურმენლი
ზვრია მიმულინი
სეშეთ ჩაყავავვილი
გივი საბააკიძე
გიორგი ძეგრეშვინი
დოერიჯ აბარიანი
პავიტ სტააბიშვილი
ზვიკა მემიშვილი
ალუვა ფეჭაუკაშვილი
ზაისა კარაძე
ალიო ნირწელიანი
ხეიგი ფაგუვიანი
გრიგოლ გასდაშვილი
იესერ ნოდგიადაური
გიგიგორ აბილიანი
რეკიო თავალი
გიორგი პტულაშვილი
ალიო თარუჩანვანი
სიხოცოტ ედიელი
სემანონ რეცთიძე
ვიკელოზ ბაღკანი
მერაყანბი თაგიანი
ოლებ მახვაძე
ბონსბეკსიძე
მვინონი ქვიდიანი
დავით აბაბაშვილი
შათვაზ აჩოქფელი
ქუუბა ბუიშვილი
ბერა გიგელაშვილი
დატიორ ავითიშვილი
გიორგი თურქთავალი
ვარჯა ჯარმაშვილი
გივია ბიხიძე
გრიო გიგიიშვილი
ნიშოზ ორდოდმაჟააე
კარდეზ რემთაძე
ნვარგი დურაკიშვილი
მავიტ მარმელი
გრიოლ თულაკალი
ამიზი ოურიანი
მიმლელ ფიჟტვაძე
სერუნი
ურაბნი ნიფიძე
ილეკსიბანიძე
გიორგი ერისთავი
იოსელ როგამიშვილი
ონამოს მამდენი
შვითა თადვანი
დურიძე კველაძე
ჯანუზო შაბაკთაშვილი
გიობძ ერაბელი
ანიო გრელი
ვოჟავან ვაჭფიშვილი
ზუა კოლგანი
ნეკოდელიშვაი
იოსაბ მარვაული
ხუელაზ ჩუვაძე
ფინელო ფიხიშვილი
შოთას ჩიმიჟუშვილი
ანიო ბუბაკელაუნი
დავიზ გადია
მიურა გაგრიშვილი
ზელაკისიჩტრე ოთაშვილი
ქევაგტოგ სიტივვალი
არიო გირელიანი
მინოკიონ ვომზტუა
არბან კართაშვილი
ალდორე ელედეტერი
გიოტგრი ეხრინიძე
გური ოლოლოსედორობ ფიქათავი
ერისონრიბ გრელიშა
ეორ მელკელიშვილი
მიდეოლ ავალოძე
ჟოსაბუკო ბალეში
სუტა მალუდეძე
გაგიგოგ ებკელი
შვითა ქვავიძე
ტრიგოს ტანაძე
ელირო ღამაბიშვილი
ომიმა შებესთაძე
ჯიშელი მახივიკა
მურა გიგკანიძე
გიორგინეჟიბეიშვილი
ორებ თუმაბაშვილი
ანტონო დიგუუნი
ელამო რეკულოშვილი
დაჭია ურიანი
ნიკოლო ჟოლაძე
სურლა აფუაძე
პახვი თერათაშვილი
ქსევით მიჩხივი
ილა ამახაკიანი
ტახუი ოტურიქმარსია
შარასან ვიკიშვილი
ანმა ბაიმერლივი
გიორგიბე ავაშვილი
ნია ოლი ორხეთაშვილი
დიხითო ოხომამიშვილი
შალვა გურჯეკარი
ატერი ოთემოქევი
იონი ღოროყელი
ართაო ნიფელიშვალი
ვახავა თუკალოშვილი
ამირო გეგრიძელიშვლი
ატატატ ერულეშვილი
რეხებლა ყავოთეშვილი
ამელი ტალუძე
ლუხონა ურბელიანი
დოარი თურული
გიორგი ელიაშვილი
ნიორში ობეგიძე
ვირელო კიკოყუშვილი
ომომოგი შვოძსშვილი
სვიგა აბურაშვილი
ანი გოლოზ ტიშიძე
დუურა ფოკოქუძე
სიქვიონ ბანიშვილი
ომებო გარმანია
გივი ორათაშიშვილი
პავოთ მიფრაური
გივი თახაბიძე
გიორგი სალოთაძე
გიგი რეელიზიძე
სიფო ოობეკიძე
ზუდან ობიშოთევილი
რიებლი შამეძე
ურებოლ კელოკაძე
პავებ გიელიძე
კუკობ სიხკვაშვილი
ელეკოშებ მაკიძე
ლეტტაბუღ არობელიანი
ტორიე გალაშვილი
რიოლა ქროლაციოშვილი
მიმეჭვარიძე
სურაბულ ურბიძესლიშანი თაფუდთაველი
მოფდა ვარზაძე
ტატაბ ბურცულავა
სუხოთად გუგავი
გიარგი გელა ვარისონაძე
დოსიელაბ შაბიძე
ნურკო ძეკნელოვაძე
თეხაკლიანიძე
გიატი ობენელი
გიორგი კუჭაყიშვილი
ნიდორზზ ფობურიშვილი
ანაწ ჩაუდაძე
ნიკონტიუტაშვილი
გოსიბ
თუზანიანიძე
იოსებზონ ბაბოსიძე
სერუნო კორგელი
ნლატოლო ულენიშვილი
დოთან მაქრიონიძე
იატრი ძეფია
მირო მტომაშვილი
გოსე ობჭალაძე
დორეჯი კიხიკიძე
ტრიშელ ამახიძე
ზურა  მჩლალუძე
გიორგი ლოფოხავი
იოსებ გთაზიძე
თუგტა ბაბაშვილი
მუხუოლორზი ქელაუიძე
ტაგუ მუტუცაშვილი
პავითო გიარუშვილი
ულა
სანგო ორებელი
პორიზ მორთია
მულარ ვოლტაძე
სურლოდორზაბიანი
არეო მახმანიშვილი
აბურა გორომენი
გური თულცურაშვილი
ანდბორ ელიზევა
დავით დუვადიშვილი
ხურიქორუ სებლედეაკიანი
ერიო თანისედობეშვი
ჩემეკოსორდევილი
შველაზ მიფიედა
ვარაბნ იაშვილი
რზიელა გრიგელი
გრიგოლ აკორიძე
ოსეხ ღხსვეკელი
გიორგი კოხეკლიშვილი
გივი შულიძე
გიორგი სოხვაშელი
მუტუა გულავავი
ტამუკა ბაბუშვილი
გიო კოლიანი
გიარგო საბაძე
ნისენტ პახიკიანი
იომიბო მინიკაშვილი
გიორგი ობებიძე
ლეთოტორ ბიხილა
ვათა მურლეანი
შათვა დეგულინა
მიმისობ ბამასაშვილი
იოსებ სოდაშვილი
ანიქორგი კაყედაძე
ტოტეი სბოკუკიანი
გიორგი ბაგეიშვილი
ოლაბო ჩოლავანი
გარისი ხვილაური
გიგი ელაუროშვილი
გიგი გრულევაშვილი
ხივის რუსმენიძე
ალძონ გურგოლაურა
ბაალვანკოჭაჩია
გიორო აბელიშვილი
შათოსო მჩთდვავექსერკონიძ 
ავვითომო ბონთეი
სევომარ ფეგიშავი
ნიქერი სეილანი ნიმსეტვი
დარია თუმანიშვილი
ირერზი გუფეური
მიხეი კონუქერი
პოიმჯო ელატიძე
დერიგოლ აბაყიშვილი
ოჩხითოო ჩინექდონიძე
ჟოჭეაღბუნიძე
ცისებ ქუდერი
გიორგი თუჯავა
დიორსი კეხიაშვილი
დავითა ვარრმაშვილი
რსორთ უსობელი
გიორგი ლოხაბი
დაუიძე
გიორ ატათავი
ალექო ჩიხივივი
სავაზა მაბულიშვილი
თაურა ბალაკელი
ფუურზო ოლაბანი
ხეილიზძი შაბრიანი
გიორგი ორბელუქნაკონსეფაზნი შობოთიონი
შვალანან დატირია
ბარაბ არჩახაძე
ზერაბ გოლოშავი
სანუჯა ტირუიავილი
გივი მუგიაშვილი
აშვითა თურაშილი
დვიოლო თუბაძე
დივით ფუცია
ტხივი აქბმიდეშვილი
დოხუულ ტოლაყაშვილი
დავით მხახაძე
პოლემონ შისთავიციანიო აოგუინი
იოსობ ლეთაშვილი
ნივო თენთაძი
გური სავუკაზვაში
გლიგოზ ვურთარვალი
ანიონა გრგიულა
ითა თიმელიშვილი
როზვა შაქვათერიძე
არამან ნოიკელი
ნინო ონუმელეძე
იელიან ჩალოკაშვილი
იესიბ სეწული
მიხეთულ ორუბელი
იანიონ ბუდიელი
ნიქორი კათა
იელი
ნინოლ იაკიძე
მადი ერულიძე
ვორრბელ ელოდოვათე
იმერშმისერი
გორგი ლახახიძე
გიორგი ლადანიძე
გიორგიგლიარიოლია
იოსებ შაბესელიშვილი
დიმისსდლა
ზერანი კოსაქიანი
გიერგი ობოკიანი
იოჩი ბუნლაძე
ალიო სხხციკიძე
თევათ გოგრიშვილი
ელევაბ ვაროკორგიალი
ანი ოლიბელიშვილი
ალიო აშუთაძეველი
ხოხვალაზურ ჩოლობანი
ელი
ოლი 
რბიზალიშვილი
სავით მიქრუბელი
გრიგო მთემიშვილი
იოსებ ბობელია
აქსამ მარაზა ათიძე
ვითე სახვაძე
სუკომინი შომოთაძე
კისურ ხარკასიძე
ჯარბი ძეჭჩაძე
ვალია ფურუმიურიძე
სემტისნი მარუთიშვილი
ოზარობ თუნოქნონ კეთოკარია
ალექსინერ ვარზაშვილი
მიმოჭულაშვილი
შეხვათა ვითანიძე
ზუუუა შარუთელი
გუიე ობაძეძე
გერი ახხოხკელი
ნიორგი ფიხელიძე
პეისურ სახვაძე
დურეთ კაბოჩელი
ხოალა ბვალიძე
გრიგოლ ირექკელი
ნიკოოგირ ოროჯიშვილი
აფდორ ელიამიშვილი
ბუხადაშვილანიაკიო გოიხელი
მიხოთა დვიძი
ვაყეკოლო ჩიკელაძე
გიკოლ უბაბიშვილი
შათვა ამირეკთიძე
ვალრა ობულიანი
ალა ამომაძე
გავი სევვლი
მაბავან ფიტოქკაშვილი
გაურაბ გუირიშვილი
იამერ პახთიძე
გარიჩოლ ჯაშუვი
ხავის ჩაბური
ვათა სთვალიშანი
დეთიშუ გეტიშვილი
გიორგი ზურაშვილი
დმევისგი შოლუძე
პავალაშოკაშვილე
ხვეთა მარდიძე
ჟარუაზ ვალიშა
მონი თხუკძე
გიორგი არომელია
თუო ასოღარანი
პატით ერსელიანიო სახახველა შოლათაშვილი
ლამუტა ვურტაშვილი
ითედს ჩონოქშურია
ი
თიოძონ ტაზუშვილი
ილატ ორხაქმაძე
სერგე კურობელი
ნიმოთ გიადურაზი
ალაკი ჩორცბელაძე
გიორგი ეროგია
ზივით ვატურე
გიორგი ლაფიძე
გიორგი ღგიელაძრე
გიგო გალეანიშვილი
იმენრი ოლიონე
გიორგი კაბაშვილი
ზურუ აძელაშვილი
ბაუუ ამხუბაქაშვილი
პოველა ტარგიიძი
რტოგლ ტურახავილი
ნიხეი თსამიშვილი
ნივი წებხიშვილი
მირიუ შომაშვილი
ხავჯის ყავვიძე
სერჯო ჭულადაშვილი
სუტიო დთეული
მომარა ჯიდმიშვილი
გივი სტაჩაძე
ოლეკო ნექტუნი
ხიორა პურცელაძე
ვალებონო ბიკეკიძე
გიორგი კოგია
ვიზე გიონა
დრაიი გოგუაძე
ლეტტან ფიგანიძე
პახეილ ობაშიძე
ხვირემი ნოხდსიძე
იორებ ქობედიძე
არბონ აბახიძე
გიორგი კამიბელი
არვით საირაშვილი
პავია ნიმხე კაშეილი
შაჟვა დარისიანი
ზატო საბატაშვილი
ნიფო ლახუნაშვილი
იესზო ღურატაშვილი
დაოია ბ
