Sampled text is:
ჯვილოძე
თავან დერეილი
გითრედრ ესი
ისსლიკონ ხიI
ალსან კადიაშიძ

რამოლე მარდელი
გუმან დარახაშვილი
ნურმგინ სანდელაკავი
თომითანი გამსანიძე
დელა აშამქანიკო ნიმოსაძე
ბესაზ ართელი
დევანე ბარჭამიშვი
ელედეინ ბარახაშვილი
გიმოტ ანღელიშვიი

არარ მებაშვილი
ორმონ საქდეთე სურეჯიშვილი
ნედრი აკბთაკიშვილი
დიმო გაშვითელი
ხოთიანეი გვიპიანდია
გივა მერტინიძე
ნანტრე კაწიანი
გიმოლ ტუსონიშვილი
დოსონ ბიიანაძე
იკანენ დვიდაძე
იკქორიზე გიყავი
გილტორგ კოთაველი
დეტონ ტოდერაშვილი
ერდეა ზაბხასიშვილი
ირეგლიზ მვაბეძე
რიდელუდან გაროული
თოკან ტუხონელე
იანებენტიანა ბემეელიძე
სიბო ტოხიძე
გიორტინ ჭარატიძე
ნიკილან ქურაბერინიშვილი
ელაკონ ბარანჩქანი
გიდრაბ მასვენიძე
ლეცთეტანტენდერიბ ებვეკაშვილი
ა
დამერ იმანაძე
იეგო ხაკოძე
ასვაბეხანა დიდაშვილი
იაკა კოდანიშვილ ქიქღაპაშრილი
ფანცე ოსელი
თიმონ მაჩჭანიძე
იოკა მინორიძე
ნანო აბიშვილი
ნონევ იყილაძე
დითი არბიაემანე მხდეტაპდიფი
ნიკოლენდისონი ერთელია
ვახეტია ერდითაშვილი
სესო შვია
ვენი ჭაგვაძე
იკან ურბელიშვილი
აკვიკლი მენრმაშვილი
იასო სადთევაშვილი
სეურა მეტია
არაქებბელაზთვანდი
ასესრი ნოტაშვილი
გურა ხორგოფათიტანი
დურან ქვანგიკაშვილი
გიხრომ მანჩასელიკევი
ჩასა არიკოშიძე
ზიჩი ასაბვაშვილი
ალეტსანდრე ოსთმინელი
ალექდანი ერისელი
მარჩენ გიკათაძე
გიორო ბეკაბიშვილი
ზადტარ კართელიანი
სასო მიდაშვილი
აკოს
ასსილონ ნთხაია
დელეტრე ღობერიძე
იევეტნანო ფნიხევაძე
იდომტრიზ ჯასნოშვილი
ბანინ მიმაშვილი
თიკოონ გათეთაძე
ირიოკლი Iქსთიქანდინსა მახხანორეგბანითე
ანდანა მემმერე
ოლევა სოტიაშვილი
სიმეცინე გლებაშვილი
თიიგოლ დაბთანიშვილი
გიორგი მარდელი
ერიტან კადაოშვილი
მურამ მირაზიშვილი
არიკას მასუაძე
აკაკო გისი
თედია
ნაზტრი ამიაკი
თორტევ ქავანამეკეი
ფურამ Vლასნიძე
თაპან ბეტაძე
ქიხეკლიზე ბოხაია
გიგრელ შაბაშვილი
ალტო დრისდაძე
გროგლტურია ზთერტელი
ნიქოტან ჩენუნიშვილი
დათუზა მამი
მედა ერხიანი
გიორგბიფ ანფრიე
მიტა არიმანიძე
დახიქრენე მადუ ანდურეძე
მაროთ ამთარელიძე
ძესნალო ხამიკელი
ეოლ დხოვაშვალი
სიარგი მანთაძე
მივატ თაზვაშვილე
თათარ ქაიაძე
გურგე მეგორაძე
იმერეტენდზინაზ ანდვთეზიძე
აკა კეკაძე
იოსან ჩარბაჟიძე
სურმენ გოდოველე
სურდუ ეგვანავი
სუხეს იამაშვილი
ვადატინ იურაკილი
გირიჯოლ ბარია
ელატე მურუმინიშვილი
მიმალა ომბელაშვილი
ალერერე მსახი
ლესრი გოკურაშვილი
ელოთეან II
აკეკ ჩბოხაშვილი
კიმოზ არიცაშვილი
იამერ ბარაწმიდენი
შათვან თერომიშვილი
დაგილტან ავიქიანი
კედომ შხეშლიძე
იოსებ ართუმაშვილი
ნეგოსონ სადაშვილი
გიორგი ფარაძე
ბევი მარხაკასა
ვუნათეი
დასიბ ტაცეი
ეინე მტიდაშვილი
გულან პირმიბე
ავანიან კობეაშვილ
ვანენი ომასაშვილი
გამო მამიშვილიძე
გავა მემარეშვილი
დიოღრ მამესრიძე
ავოქნენი ომეზსქენიშვილი
რემო ბართიქაშვილი
კაგლი აანქვანდვი
დიტრიმ პიესაშვილი
თეტან შაჩუდიშვილი
ზიბომ დურღაბი
იკელიაზ ზანდეშიძე
ნეცანა აღეთთირიძე
ილიო ამიბელიშვილი
ტოსა ბამაქაშვილი
დიმომ კაგიძე
რექონ კებანიკი
იოსა სახეშვილი
მლიორ ქახიაძე
ნიკოლოზ საბელაიე
თედლენ ვამიმერი სანსაკასაშვილი
ბანატო კამაშვილი
ქიხოკო მაკაური
გიორგი ბაპიშვილი
ბადაზა ფხეიოძე
იაკასი
ზტიდ ანმლეფალი
დამა აბეშავიძე
გიორგი ლობავერიძე
მირემტინ მორთაშვილი
ასეინ კუტოური
იროქლინე ქასქენქრეონი
ბატა მრეთონიშვილი
აზვან ბერიქიანი
ნადო ქასული
იასოლა ჩა დადდივი
ნიკოზ ებიენიძე
დიირო ავენიძე
იაკან კაკაძე
ვინე ბემიჯილი
ნა აროიძე
იათე სახგიძე
გიმა ჭარტინია
გიორგი მოჩაშვილი
ბემით არპანია
იადიანძ არზავა
იკანი გამოვი
დიკოლ პორექაშვილი
ეურობენტისენდქარტრე ჩურია
გიკოლო მოგაშვილი
ნიჟეი მორცაწაზია
დერიზ  ქაბი
ბილიონ IVI
გავა მადაურიშვილი
იორა ალიზიბე
გიორგი დონოსა
ერა მანტაძე
შაზნ ნდრაშვილი
ელობანო გეთოძე
იკონენ ცონერიძე
როზდურ მიბაძეშიელი
დაგრთ ზმენიძე
ირიელე
გოგსუნ იკთელი
ვანგირო ღობურიძე
რიურგიბესოზვა კაწჭაჯიძე
ისანგი აზთვაV
შამით კუმენძე
მინეკ ჩპიგდავიქი
გასრო ნაროშვიანიანი
ბაფლითი გთციტაბელი
სუნამ გრიკაშვილი
სიზრი ქIჭლოძე
სიდდა კღი
იატე სადიური
გიგო ველიშვილი
ლაბო ფეთლავი
ნიღრომ ბამთევა
დიმებ აბიაშვილი
გილგიოლ დაბსაძე
მოქარინე ბარქიონი
ჯეცო ჩეიუ
აკაკ მომედელიშვილი
სვიოლაზ რავი
პამელი ანჭაძე
ნხდერ ბიქადაშვილი
არიგოოლ ავანიი
აკე საჭაშილი
გიორგი გურმავი
ნიკალაზ ბონდირებელითაშილი
ვანი ელიძე
ეკაზ ახიძე
ალემენენ თურდაშვილი
დაროთ მადაშვილი
გიორგი ნაბურავი
ჩიდელის ქავანოდაძე
გვამ არენიშვილი
მატა ნამიშვილი
ნენ გორღიი
ასზელ ჩასე
სიზტრი უტურმერილიძე
ალეკან დაკოშილი
ელიან ბურაშვილი
თეკოლ მოთასაშვილი
გიგოგრო გომედიშვილი
დაანა მახიანი
გიორგი ანისა
დიკოლიძეელ ჩონდრელიძე
ნანდ კუნპელიაკი
ლიქონ ზაცაძე
მიოლე ბჩიდელიშვილი
გუაატ ვარაძე
დაიზე ვაბიშავი
რიკოლი ასიცელი
რასულ ნობორივა
გუროგ მIნჭვანიძე
რსონ აშაურიძე
ილანტან II
თამღირ მაზთაძე
ანტაკან თასანდანი
იაკონ სიზანონენი
ელაბობერი ბელდვინიძე
იკან Iრთეთანი
დამიე ჩარილაა
იოსან ბონორური
სამნონ ზვრმუხელანაძე
ლავიან ბუობერიშვილი
გომარა კაია
თენტა არამაზავა
დემიან ნაზანიძე
იონაქარა ენიძე
ქიხეტრე აბანირაშვილი
ბერაბ ბერიბვანი
კაკილი
დაბ არბელიშვილი
მანრე კიბოშვილი
ბმატიანი ორცელიძე
დანი კანოფაშვილი
გეჩარ დამიარაშვილი
თესალ მასთეძე
გიორგი მაღხანიიშილი
ავენ საძე
ზამი V
მირელი მურებესასიშვილი
გიორგი გუდიანი
გიონგ ავმიაშვილი
ნუხან გარქოვი
გიორგი ბებაბიშვილი
სუქამ ეიშვილდეი
ლავა აასი
აკაზი დამონოზაშვილი
ლექნანი ალია
კათულიშვილი
ბოთანი ქიმელე გუინაშვილი
მანაზან ბრადამაშვილი
ილიონე სვახავი
ნიკოლო ბაბთელეტიძე
გონგნა Iკასაძე
ნიბე ანიIე
ბოზა ჩხელაშვილი
ბახატე გურემივანი
გუარდ ბუტათერიშვილი
ვაბილინე ლანსთენი
არდური ძოგატეი
იანდრენიზ ბავათაწდურსიზ გობეურიშვილი
გოიგრი ფამსაშვილი
მენერ ქურცი
ჯირმილე Vსთესსიანიე კონთელავი
მიდონ ფანოტაშვი
ჩიკოსლე ამაბშვილი
ნიკოჯი Vბი
აჟნე ონიშვილი
ვასული სანოკიშვილი
თერბა ამიშეიშვილი
სესლან III
მოსი კაზდაკვუ
ჩისელობე ვაიმანი
გიოლა აანაშვავა
ნენე ჭობაშვილი
დიორგი მართურიშვილი
ლავა აჩითაშვილი
ლაკომ ბამაშვილი
გიმლე ობაიჭელი
მასა აჩილეძე
ნასანა დატიანი
ირმონ კერებანი
ოკელ სავი
იანისა ზიხოთერანა მახონსშილი
იოჟებ მაშურიძე
გიოგრი სამჩვხი
გოტან ოვსიაკილი
პამა არმელია
ვანიკე ლენთელი
ნიდელიზ გოჭოლი
მიდხა გოლიაშვილი
ზეიტა გიამიშველი
იანდიონ დურეკიშვილი
დიხო შვანიძე
კორითე ნადაშვილიშვიი
გიილო ქანსვაშვავი
იჯსორ ზუთაძე
იკაკონ ისანიშვილი
ნენანონ ჩელესიძე
ირიულიზ ხუნდრელიქვუთანე ჩურცოსაშვილი
ვადთე კეგვაძე
გიოგგიგე თურამიშვილი
გიორგი Iი
აბრე აბთაბაიენსელიქქაბერილე დაპადა აურიავი
ზახელის ჩჭოსშვილი
ხატტენტ ამგცეთაძე
ვახანე ფარმაირა
დებლე მოქთახირდელი
მატი ბარაუ
იძე
მედარ ბეგუმაშვილი
ელგიონ ტაგიანი
ზეტსანზ სებაპიშვილი
გოსაგე ავათთივი
ნანაზ ქამითერიზვილი
გურამ გელისაშვილი
ილადერ აფალაშვილი
ბადოზ ერმისელი
აურა იმელაძე
დოდრეზ ზახიაზი
დანი აკისანინე
ვასი სასუნიშვილი
ვადოტრა ატთიავორი
გიმგიტდი ონანითეი
მაქრანტრან VI
გაარგ ჭა აურაძე
ლონანტ ჩტეთახიშარი
თმინოლონა ედაძკაანე
დედრე კიშაძე
გურდელი აფანდიშვილი
ბავა ანთქვიშვილი
ელიქა მადთაჭოშვალი
დალიე აკერინი
გიტტან კამარგი
ფანა ანიური
გიფურლი კანვაშვილი
დადურამ ბანოშვილი
ზონა ამიანი
დოზე კლავანთურე
გელაშძაშვილი
ბავიან თრიჩანი
ჟოდეანი ანისთანანი
დადულ აედრიIთე
ალრებან პურა
მურამ ქურტაშვილი
დიოქგია გგველიანი
ალექსანდრე სოხბეშვილი
ბადა შინნტლეძე
მანა სელიაძე
შვინ სვინაძე
მირე კაშიშვილი
ნამორან ბაზქველიანი
ვანე გაპაძა
გიმოლე მაიღე
ბეისელისიდევთანი ქარხელიადვინდციკონნ კრთბანიშვილი
თასარ მხიასიშვილი
ოლონა სედრიელი
ოორა მიჩაძე
ირიფალ მვენაძე
ლიკამ ცახურქელი
იონე სურქელი
ჟიჩიელ მიკაშვილი
პეგრენ ბაბრიშვილი
ასელიკა მანსაკიშვილი
მიდერ იელიძე
ნისდორე ანაზიშვილი
მიმო ლონოშვილისვანდნო დრერიძე
იანენ კიხეშვილი
სოლიარა დციმორერიკაკი
გიურო შელბაკიანიშვიშვა
ზიმატტზა სდრაშვილი
დამოცსჯა თექიავი
მიმელლია ბანქმარენი
ჭევასი
მიროტან ნერპიანი
დავით ბეჟაკიშვილი
ნიკოლ ზოსქთიხეკილი
კორგი უVანაძე
ნიორი
ეაზ აბაშვიშაი
ჯაგიას დოგიშვიძე
არამა მირბარია
ლიკა კიშვილი
დამია ამათია
ჯიმგიზ კაი
ავეკონა სასდავი
ლედო ბელამიკაძე
აანე სამანიძე
იკონ Iრემდიდითენი
შარა ბაბაბაშვილი
იობერლი ბანდველი
მიმან მიდაშვილი
იასაზ ახერედვიშვილი
ნიხელაზ ზვაწსაშივი
სიგილონ ქანიასა
გიდერი IV
მამიქნენ კომთერაშვილი
ჩიქრა მედაძე
ნენე ბაკაბიშვილი
ბატათ ეგიბაშვილი
თარგიდე დადიი
მირგიბ მატიშვიმი
მართტან მარდუილი
მაჩან მახთახარი
დუდთა ბაინაზი
აეტანსე სოგვერგილი
ზიბურიუნ ბიანიკა
ა
ნეშიან კებერიძე
იორენ მოვრეანი
მოდელ ურცბელი
ახსოკი ჩამორსი
ფამა მერღელიძე
ნიკოლეზ ბქვრიკაი
ჟომემ ორდელი
ვანა მახოტუშვი
გრიგლი ლაწთავი
ნიკოლლიზ ეჩქდეტერე მირებმენისე
ზიკილიზის
ტოდლი არბელი
ვაწზი აკთესშიძე
ნიკოლოზ აბსსრელი
არსე პაბაშვილი
მისან ლიპანერიანი
ამია ორნელაშვილი
ოკლო აქლაშვილაშვილი
გიორგი ჩასიშვილი
ჯროდოლ თაბსორიაკი
კონ არჯდია
ლივოტ რთეტლაშვილი
ილიკობ სომდაძე
აკო მედიაძე
რიოლლ ანიბე
ირეთე ლოცობო
არსენ ქამჩერეძე
მიხეილ მარხქევაძე
ირგიტონინე ოგისთობი
იაკიქე გიქველი
დადელონ აკერაშვილი
არსაკო ყეჯისი
იქონე სალთვაწდივო მოჩძე
რაჟუმ ბარსელიძე
ვანდტინა ამთუსაშვილი
ადრიქლ გითოძე
პიმო კოგოვაშვილი
ნონსრა ოვუნავი
ხეილა ონთვაძე
იმესლა არქაკიშვილი
გინდგლრ მუგუმაძე
გიმოპა შვილაძე
ნინერიჯ ომღრეძე
პაქღა კიბაშვილი
გიბოლ ანაშვილი
ვომე მარაბი
ვანო ლამაოვა
იმექანე ტიველი
ნიგელიქს ჩუბაშვილი
შარვა მტრიმონიშვილი
იაკოლ პანქვაშვილი
გიისო გვიგავაშვილი
გიორგი გობიაშვილი
ზანი სხოდელი
ირზილ ბარათი
აგიონო თაცენეძე
არებ ჩუიაშიძე
დოდა უვინაშვილანიქსანტრდნი Vას
იოსსლაკა ასნონანი
თუქრა ვალაური
მაკონ ბონიაშვილოძვანდე ლობაშვილი
ქიქვანა მიურაშვილი
გიმორ ლიგვათსი
გამორ გილაბიშვილი
ვიგოგო გაგგითაშვილი
ერიქელი უხსიკანა
ვავაა არმომურათერიძე
ლანი Vრქელი
იანიკო კოიძა
დიმონ კამაძე
მათტეინი ანითეძე
ბასია ბეტიანი
ზამინ გიფუხიძე
ლიმონ შავაშვილი
იაკაბ ბარობანაშვილი
იასე ბომოდიშვილი
ბანო მობელიშვილი
ნიკოლიონ ჩუმამიური
სახე ბეგუული
ალეტესგდია არჩთექიძე
კიმოდ არუბეი
ლენო აბიშვილი
გიკო ლომიაშვილი
არიოთატია ნანიგოკელი
გიმონ რთეკჯიმაძე
ნიკო ენთაკაშვილი
იასებიმ თეგტარიშვილი
მურა გდაჭაშვილი
სიმოდრამ მათიანა
ნედო ეკიტანერი
ერად ქვიაძე
ირობენ სჭიონეძე
გიორგიი გაბოვი
არსომეი ნასბიაძე
დათეტონ კლეიონი
ზენდრეთი ომიანი
იენე კამიშვილა
ალიაშ ალლიაშვილი
სელა არსელი
ვანზა ჩველაშვილი
არათსან Iანიზრი ათათაშვილი
თულცი კონიგელი
თანტაზ Iტანთქრონიკე
პელო ქუხანაშიძ

ამაზ ბელაფაი
ანედანა თიანიშვივი
ეოვაზ აბანენიშვილი
სიკოლოტონ ურანიანი
მადელი სმიმბელი
მენე შვილიშვილი
კლორსი გამათაშვილი
სიდო კიგვაშრილი
რემე ნცირაშვილი
ბანილიზ სუნა მეშრეძე
ანეტნანტრდიI
სელებ ქამირთელი
იორებ დუმურაძე
ჯახურა მგოსაშვილი
გავრან კომოწდელი
დიგილ ჩათთაშვილი
გიორგიე ბოზველიანი
დუმან ავაშვილი
გიორგიონ Iფალი
სემაკან გვური
ელიონდიამოს ჩერდაშვილი
ილაკო საბხიშვილი
გაგაზ ატისაშვილი
გურამ ჩეშიშვილი
სანსდან ეტინაძე
მარეთრინ V
თემანგ გამოთაშვილი
დოდილი ამირალი
თასიან ვონინელი
ენტტერი მათელეშვილი
მანტან კინელეშვილი
იოკა ლიქოვა
იანერ ეჩბექაძე
თათიან გამატიშვილი
სამორ მახიაზვი
დურანე ხოტაძე
თადან სრიIძე
ასანეგ პველიშვილი
გიგელი გომციძე
იკიკა მარიაშვილი
მენესერაბ თაონტანიშვილი
დიორგ იII
გლიგოლლ მვახეისოსგიცან ვაძე
საკიოშ თუმობეუმიკი
ზიკლინაზ თასსთოვალიშვილი
ნუმან ახითეელე
საკატომოზტრე რკიხაკაძე
მისეტდაშვი
მრანა დომხითა
შავე
არიანო ემტანიძეე
მაზხა მიმიფაცსლეანენქქადექერეინი
ერი გელაშვილი
ელგითერ ჭველაქია
დიმილიარ გამრადოიძე
ანსან სერთანი
გიორგი პაბაჩიშვილი
ფასსტინ მიკიძე
თივიქ არხივა
სულონ პორსოქოონშვისი
კომაზ მემიძე
თავრი
ზო იაზირეძ
აზანე დიღაძე
ნიდორ გეთაშვილი
მირო ლაშვორი
ოლოზ ქარამეშვიძშავი
გხოსორ ჩუნთაძე
ნიცე შვაბე აზთაშვილი
ვანე მერბელიძე
არსოს კამაძე
იასო სიკარაი
მიხე მურმელიშვილი
გაორგგი კაბაშრიძე
რასყინი აჩი
ზასა აწსანიშვილი
კელგი არზოული
საბენი კაძე
ბედოლ ბღდხიშვილი
ნონო აკაზიშვილი
ვანსუზ მიგშილიძე
გოსრგე აბძე
ზვლე ზაუდივანიანი
დაცოლ ქარითია
შოთო მარვაძე
ანგე აეთაძე
ბიკრილიზაზ ბეზიშვილი
ვამიშრი მოოსთანილიბე
კორგტინ სონიონი
თარდით მღIგე
ისელი კარამქანიძე
ირეილ ასაბაშვილი
სასრი კელგიანი
ნიკოლოკობ Iბთავვილი
ელოV ავიანი
რონდურ ბარზელი
პასტა დამეული
ზიმე გართელია
ნიდორგით დეონალაშვილი
იოკილიქდაზი ართთეზაშვიძა
ზვან დაღაძე
ფამგებ ბოერაშვილი
იგილელ ჩთრიზელი
გითეოლა აბხენე კაპაძე
ზანდვან სასაძე
დიორ ჩელაშვილი
მოზა ულაბაშვილი
განრგო V
აბსანა დოდანოშვი
კანტა არდისაძე
თახაბ ბვერიონი
ბიდილი აზსი
ბავინფაზჩინ ქღხაძე
პაგრამ ქეენიშვილი
კამრგიან II
ბელია სანითეშვილი
ნითო შლიქაშვილი
თესალიანი
სომიინეიზე მენთბელიძე
თანთიქანანდინე მაჩიფანიძე
არნმ ჩბინაძე
ამეტრერი
რიდიოვ თოდია
გიარგი ლევანიძე
იბექ ივაშაილი
გიორგი კენოშვია
გიორგი ქთიმაძე
პისასლამდასბIნტრეზ მაცმენგონე
იანია
მევინს მათიანი
ვეტტიმ სელურიშელი
მასტან გვენიანი
ზახაზ ჩაზძაშვილი
ნიპოლ საბაშვილი
იოკოზ მავიკაძე
ჯიიტრი მახერეშვილი
ნუნო კულაძე
გიორგი ლოსოსიშვილი
გელიფ ღბოტიძე
ჯიწმოდე დავი
სითელო სჩიცაშვილი
სურტას მურანიძე
მენეტ თთექურიშვილი
გეილონ კეგუშვილი
იაკო ქაკაღეშვილი
დანდვა ქგდასეშვილი
გიორგოზ გოღველიშვილი
იკადო ამიური
ირეგლიბ ბაბმაჩიძე
ბემან ლიაზაშვილი
გიორგი მამრაქვაქსანდელი
ტადია დაჩაკაშვრი
შავლი გიმასარიძე
მიმურებ გავათელი
თასლა ბაღაბაშვილი
ბადითან Iფანენი
გერო გთენონი
დევა ფარდიაძი
აურაბერიზ მასდენიძე
ლამა მამთეძე
იძეონი ანზდიანიძე
გიორტი მონღაშვილი
მორობ ჩირეძე
იანერ ბულაბელიძე
გოსრომ ბაგიაშვილი
ზამარ ზცვარიორი
აკნო აუნიძე
სისრინზ ბენზაშვილი
ელია ასდასიძე
ორგე ჩისი
ვანან დამსანაშვილი
დელვე ჰუმალოშვილი
დემატთ ბტრებანაძე
თომამ ვართიანი
ეანტა სხიაშვილი
ნოდორ Iზადატი
დასონ მადიაშვილი
მარაბე ლიჩიქაშვილი
ელლოს Iმღრიბელი
რედე მახიანი
კანტრთე ქხვიბევი
აკანონ ვახოზვი
პასორ დვანტონეიანია
თემოტა ავილოინე
გიკორლიზ გხიძე
დიირა ონდიაშვილი
ვაბელომ ანბურისელიკი
თამიტა გოჩელიძე
ნიკო ლოხოძე
ნამი ურდვაფარიძე
ქავსაზტანგია მორაბელი
თოირი Iნემანი
ქიკაზ ავაბეძე
დივიჯენის ბური
მოვათგი აღათერისი
დიტო შვინაშვილი
იქვან სარტავაძე
იონრა აბაშვილი
დიმოტრიმაზ მადაიშვილი
სონაბტანი პააშვილი
ბამა ბახოსიონაბე
ლისო საგილიო
ზლიტრი ფასმეჰანი
მიმთინანთანიშვილი
კოსინე მენიაშვილი
აკატ ბარათავი
ჯაჟირი კჩგიშვილი
ნიმარე მოვული
მატით ირთელიქანი
ჩუარ პაჩთელიმაძე
ზავით შვარაული
მენი ქორეურისი
ბანგილ ფახიშვილი
არსქითნიზ აღსური
ლიასოკო ძესსადელი
მინდან კორიაბე
იაკო თოსხინანი
ბესვან კოდასათაშვილი
ეეკამიზტინე დიჩოსაშვილი
იოსლორსიზმ ვამერდიმა
ურამე ნთიხე
რემტურგი ბარაძე
გუროჩ ბეზნაკიძე
იანო ჩედემიანი
ვანი სონთვაძე
კელე ოვთეფურიძე
ადაქ ადურიე
მიკოლორ ბღეტენიშვილი
სიზოლ აI
ვარელისე
ლერ Vჯჭთველი
ჯათუდია ნურმეტინიძე
ნური მარსრეძე
დიდი კომონიშვილი
გიორგი  აუნბვაელი
მოხუან რიარიძე
ლავი
მირეგლ იქთახოშვილი
რაკა ფოდატიტელი
სენცრე ეკვიკეიზიძე
მინად თუმბელნიშვილი
სიჩოლ ერმჰზვანი
ლანაზ დაბიშვილი
მიჩრე ზოდელიძე
იაკან ბესაშვილი
პენმეს ნათცაბაშვილი
მარამ დარხოტი
ტინე ლოცაშვილი
ხიტო ბაბაიი
ქეირე ლომოშვილი
ერონ ერდიძე
დამია მატიაშვილი
ნოსო თამიშვილი
არრესთ ნოტტიძე
ნონტროქე ბღირი
მისსილი აპია
დორიტონ კიზეინი
რრიგოლ ქურსელიძე
იკა კაბუაშვარი
მიკო პაგიაძე
ასსნი ცოსოძე
ივან მამაურგელი
ელიტანი კოთიანი
ვანია ჩერსიაშვილი
ველე აცზურითდოლი
გიორგი მვხიანიძე
სამრან კაიოაშვილი
მიასდერი არმერსეზიძე
იოხა ამიხაშვილი
იაკაჯე ბბირომიშეი
ვანმე კაჩაშვილი
არპელ ფადოთერიანი
გიორგი ქართაშვილი
ალებაზ კაზიაში
გიონმი კაცორაშვილი
ნიკოლი ცოზაშვილი
ლეოკალ ამნინე
არდე ზამიშაშვილი
გავზან მანელიშვილი
გიორგი მორბიანიშვილი
სიმგილე ვთუხნტვონეპიძე
იმანერაზ ჩუნდელი
ნოჟორტი მქხადირი
ბეკლგაზა ხატერე ითანი
თეილო მაბელიკაძე
ლერო რიპაშვილი
იასატანეტსინდრიზ ჩტრატია
რიზოლცეს გჩემონიძე
ნიკო ლაპადიშვილი
შვილ მაჩიაშვილი
დიორგი ჩალტიკე ფირკოლიჟი
საზირ გუსაშვილპ
ვემსანდლიქსანთი თომიფანიე
ჩურიტე საბაშვილი
გეტგინპელე მემსვაბერი
ელჭუნტიზი აქხიხერსის ვამიანი
იასეისიანდრა ფაიხიშვილი
ნაკისოსნ ბელთუხი
გოლო ლირანი
არდილე გეთხიონანოსი
მაჟარა ბემრთეიშვილი
მითრამ ზაბიაძე
აფროდე ზიგვანიშვილი
სანგანი ათენიშვილი
დოტობ აIბოსაძე
გიკო ლასიძე
არექნენ ნებენაძე
პავაზ კუდაქვანა არდახიანი
ნენო შოთქვერდელი
დოდურან იVე
დვიო მზაჩველშვილი
მასან გაბალახიქმიქანი
სასო ასიშვილი
დემლა ძენტილე იგსანლვაშვილი
ირიოლეზ ბანედაშვილი
გინგდლი თიონერიძე
შხიფლიო გურამიანიკი
იანონე ოიბეიარდვი
სურას გასიტამიშვილი
დომლე ტიმეტქიკოზი
რიტონტან ქიხო მატაშვილი
ელიქამდრერ თადენიშვილი
ბარაბ იეიანიძე
ლეტან ქხეფაქშვილი
ბატილ ავანდვიტელი
ორდელ საპსდონიშვილი
იაკაბე გირსიძე
მიატინი მანხოლა
ელიკე ქვიმიანი
ბოტაო ტადმანიშვილი
იანი ოვალიძე
გავრან მარღული
ეისანია აჩნქკელონი
სიკონ ღოჰტიდვონი
არსელ გუქაძე
ირსიზე ვისანაკი
სანეზ მამიშვი
იოსეს ღსპუნაშვილი
მიმოტე რდენოლიძე
არას აჩხთულაშვილი
მებრე ბოდვადიძე
აკას აბათელი
სინო კლიპაური
ზელო მხევრიქიაფზარდას გცინაზეშილი
კათუს კაბთოვიძე
თერდბენემ სდედევი
მურა სიკიშიძე
გურგიმ დრიკაკანი
ორტიზდას ჩანილე
დადა მრაბათაშვილი
აროს კასურაძე
იორე დაბრაშვილი
სადრა ორინონი
მანტინან იანზლეი
ირურთელითა მორსეთიძე
თამან სიკითვაბაშვილი
სოდალ ძაშელი
ერდი გობულიძე
თიოზდი საზიაშვილი
გავქა ამერაძე
იარაბ გიმამასა
დაორა ოსი
აცელი
რათო ლომია
ვოკოლ გოზლი
ვამე ფაბელიაშვილი
დავით ზერდმევი
რიკოლ ზძიანატი
სედოტ მინაძე
პითემინ ზურნიქელი
ვანრთე ნიზაშვილი
იანი ბაიოშვილი
ნავო ავარიძე
სიკომშირიზ ამნდრიშვილი
ჩაკტან ვახომტრინე ბასასირიშვილი
ვანტან სახჩინელი
იანდანთ მესიტამიშვილი
იარტონ დურნელიძე
